s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,qc,c,pred,mse,score
n,n,n,y,y,n,n,n,n,y,y,n,s6,0.621164343,0.181253715
n,n,n,n,y,y,y,n,y,n,n,n,s3,0.621470011,0.167638908
n,n,y,n,n,n,n,n,n,y,y,n,s8,0.622685491,0.399106617
n,n,n,n,n,y,n,y,y,n,n,n,s9,0.623001369,0.517614427
n,n,n,y,y,n,y,n,n,n,n,n,c,0.624439968,0.03748426
n,n,n,y,y,y,n,n,n,y,n,n,s8,0.625552271,0.514526579
n,n,n,y,n,n,n,n,n,n,n,y,s0,0.625728994,0.252702239
n,n,n,n,n,n,y,n,y,n,n,y,s9,0.625981023,0.461569634
n,n,y,n,n,n,n,y,y,n,n,n,s4,0.626997182,0.021434
n,n,n,n,n,y,n,n,y,y,y,n,s7,0.627720053,0.179171304
n,n,n,n,n,y,n,n,y,n,n,y,s3,0.62920023,0.369581336
n,n,n,n,n,n,y,y,n,n,n,y,s5,0.629396272,0.267050815
n,n,n,y,y,n,n,n,n,n,y,n,s8,0.629645487,0.049422949
n,n,n,n,y,y,y,y,n,n,n,n,s8,0.629737477,0.401271149
n,n,n,y,y,n,n,n,n,n,y,y,s6,0.630432785,0.192119439
n,n,n,y,n,n,y,n,n,y,n,n,s7,0.630442154,-0.020748395
n,n,n,n,y,n,y,n,n,y,y,n,s3,0.630565385,0.342042151
n,n,n,y,n,n,n,n,n,n,y,n,s5,0.630665476,0.237716734
n,n,n,y,y,n,y,n,n,y,n,n,s7,0.631195012,0.111028404
n,n,y,n,n,y,n,n,y,n,n,n,s4,0.631764177,0.32530542
n,n,y,n,y,n,n,n,n,n,y,n,s9,0.631898038,0.071711201
n,n,n,n,n,y,n,n,n,n,y,y,s9,0.632270956,0.081395349
n,n,y,n,y,n,y,n,n,n,n,n,s3,0.632406128,0.039160959
n,n,n,y,n,n,n,y,n,n,y,y,s4,0.632839778,0.369952356
n,n,n,n,y,n,n,y,n,n,y,n,s6,0.632879019,0.305360842
n,n,n,n,n,n,n,n,y,y,y,y,s7,0.633151817,0.321915509
