s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,qc,pred,mse,score,,
-,-,-,-,-,+,+,+,-,-,+,s9,0.758895887,0.26644734,4,
-,-,-,-,-,+,+,+,-,+,-,s4,0.675713904,0.266286435,4,
-,-,-,-,-,-,-,+,+,-,+,s3,0.783914821,0.265802164,3,
-,-,-,-,-,+,-,-,-,+,+,s3,0.667250439,0.265320948,3,
-,-,-,-,-,-,-,+,-,+,-,s5,0.707630542,0.264663018,2,
-,-,-,+,-,+,-,+,-,+,-,s4,0.681353301,0.263987528,4,
-,-,+,-,-,+,-,-,-,-,+,s8,0.789544722,0.263821049,3,
-,-,-,-,+,-,+,+,-,-,+,s5,0.470062864,0.263294735,4,
-,-,-,-,-,-,-,+,-,+,+,s8,0.600047445,0.26261188,3,
-,-,+,-,-,-,+,-,+,-,-,s5,0.830189181,0.262510925,3,
-,-,-,+,-,-,+,-,-,-,-,s5,0.663284497,0.262249348,2,
-,-,-,+,+,-,+,-,+,-,-,s5,0.822591646,0.261416746,4,
-,-,-,-,-,+,+,-,-,+,+,s3,0.965569768,0.261406014,4,
-,-,-,-,-,-,-,-,+,-,+,s1,0.918820295,0.260919618,2,
-,-,-,-,-,+,-,+,-,+,+,s3,0.645373783,0.260485612,4,
-,-,-,+,-,-,+,-,-,-,-,s8,0.758028775,0.260187438,2,
-,-,+,+,-,-,-,-,+,-,-,s7,0.662166652,0.260008614,3,
-,-,-,-,-,+,+,-,-,+,-,s7,0.783157994,0.258746456,3,
-,-,+,+,-,+,-,-,-,-,-,s4,0.922616479,0.258490139,3,
-,-,-,-,+,-,+,-,-,-,+,s8,1.041038223,0.25835149,3,
-,-,+,-,-,-,-,-,-,-,-,s6,0.905072904,0.258125066,1,
-,-,-,-,-,-,-,-,-,+,+,s1,0.793390346,0.257860798,2,
-,-,-,+,+,-,-,+,-,-,-,s5,0.857811615,0.257680449,3,
