s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,qc,c1,c2,c3,pred,mse,score
n,y,n,n,n,n,y,n,n,n,n,n,n,n,c1,0.8206262421734051,-0.3393626111368233
n,y,n,n,n,n,y,n,n,n,n,n,n,n,c2,1.1835390818318168,-0.19435690111771287
n,y,n,n,n,n,y,n,n,n,n,n,n,n,c3,1.2320275943524779,-0.26694083712224614
n,y,n,n,n,n,n,y,n,n,n,n,n,n,s2,0.9928434569468636,0.11635930791593074
n,y,n,n,n,n,n,y,n,n,n,n,n,n,s3,0.8550611273377058,0.01391536579451269
n,y,n,n,n,n,n,y,n,n,n,n,n,n,s4,0.9265617255994707,0.08286696655255366
n,y,n,n,n,n,n,y,n,n,n,n,n,n,s5,0.7990995938824619,0.36235753134227067
n,y,n,n,n,n,n,y,n,n,n,n,n,n,s6,0.8261467621701216,-0.02229822976104856
n,y,n,n,n,n,n,y,n,n,n,n,n,n,s8,1.0634346703460416,0.1481861577930912
n,y,n,n,n,n,n,y,n,n,n,n,n,n,s9,0.8260606388270312,0.2594209745828968
n,y,n,n,n,n,n,y,n,n,n,n,n,n,qc,1.109560382191977,-0.1416378009227559
n,y,n,n,n,n,n,y,n,n,n,n,n,n,c1,1.3122544987755045,-0.2621086802330379
n,y,n,n,n,n,n,y,n,n,n,n,n,n,c2,1.2844625299591659,-0.2962028127617391
n,y,n,n,n,n,n,y,n,n,n,n,n,n,c3,1.2628467603426643,-0.1160130418241061
n,y,n,n,n,n,n,n,y,n,n,n,n,n,s2,0.8684755903067609,0.15983474325922953
n,y,n,n,n,n,n,n,y,n,n,n,n,n,s3,1.1215401516335506,0.18836729627546267
n,y,n,n,n,n,n,n,y,n,n,n,n,n,s4,0.8977635407052794,0.025177247182755047
n,y,n,n,n,n,n,n,y,n,n,n,n,n,s5,0.8655797972605114,0.06821602607320887
n,y,n,n,n,n,n,n,y,n,n,n,n,n,s6,1.1209794847514702,-0.19916632866886563
n,y,n,n,n,n,n,n,y,n,n,n,n,n,s7,0.7058982105700251,-0.340884462701039
n,y,n,n,n,n,n,n,y,n,n,n,n,n,s9,0.32711660765044015,0.560764136593064
n,y,n,n,n,n,n,n,y,n,n,n,n,n,qc,1.2483671445432176,-0.18732402910678925
n,y,n,n,n,n,n,n,y,n,n,n,n,n,c1,1.1384969953508017,-0.03231480091345951
n,y,n,n,n,n,n,n,y,n,n,n,n,n,c2,1.2391673659996059,-0.6998897926782632
n,y,n,n,n,n,n,n,y,n,n,n,n,n,c3,0.6561185441968258,-0.5462142102025991
n,y,n,n,n,n,n,n,n,y,n,n,n,n,s2,1.8787810519098131,-0.37167249444652195
n,y,n,n,n,n,n,n,n,y,n,n,n,n,s3,0.7920622789708404,0.030500256097849343
n,y,n,n,n,n,n,n,n,y,n,n,n,n,s4,0.9178928331038322,0.01917643426657467
n,y,n,n,n,n,n,n,n,y,n,n,n,n,s5,0.9546575822469072,0.04025353165121437
n,y,n,n,n,n,n,n,n,y,n,n,n,n,s6,1.0222818857882472,0.16390754080863035
n,y,n,n,n,n,n,n,n,y,n,n,n,n,s7,0.5877470064544685,0.0502488734742339
n,y,n,n,n,n,n,n,n,y,n,n,n,n,s8,0.6203962877553789,0.27451419000690347
n,y,n,n,n,n,n,n,n,y,n,n,n,n,qc,1.17114311532612,-0.164726458300263
n,y,n,n,n,n,n,n,n,y,n,n,n,n,c1,1.475607609833235,-0.5225343289815865
n,y,n,n,n,n,n,n,n,y,n,n,n,n,c2,1.1614603968081134,-0.2746330978730993
n,y,n,n,n,n,n,n,n,y,n,n,n,n,c3,1.778678447166719,-0.25749435740620497
n,y,n,n,n,n,n,n,n,n,y,n,n,n,s0,0.5596533618128359,0.36049174393853956
n,y,n,n,n,n,n,n,n,n,y,n,n,n,s2,0.958286234867343,0.045787281158059856
n,y,n,n,n,n,n,n,n,n,y,n,n,n,s3,0.8265024668284492,-0.082729525190399
n,y,n,n,n,n,n,n,n,n,y,n,n,n,s4,0.6307055131854671,0.15816454066419794
n,y,n,n,n,n,n,n,n,n,y,n,n,n,s5,0.8018786859183465,0.25086650440953673
n,y,n,n,n,n,n,n,n,n,y,n,n,n,s6,1.0410573992492624,-0.1529364593912088
